Author,Names,Jobs,Num_Trials,Model,Temperature,Metric,Sensitive_Attribute_Vector,Result_Vector,Std_Error_Vector,P_Value_Vector
armstrong,wang,rozado,160,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0069708491761724],,[0.7596564945680522]
armstrong,wang,rozado,160,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[9.137206371292898],,[1.1090156686281546e-19]
armstrong,wen,wang,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[1.0712500000000629],[0.25526673066979844],[2.7096292065255355e-05]
armstrong,wen,wang,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.006801965188542258],,[2.7096292065255355e-05]
armstrong,wen,wang,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.00831255195345],,[2.7096292065255355e-05]
armstrong,wen,wang,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.00831255195345],,[2.7096292065255355e-05]
armstrong,wen,wang,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0217238962859145],,[2.7096292065255355e-05]
armstrong,wen,wang,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[1.3472776075905255],,[0.17798628995741295]
armstrong,wen,rozado,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.30812500000012216],[0.08633128700046107],[0.0003582096299173243]
armstrong,wen,rozado,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.001584887948743452],,[0.0003582096299173243]
armstrong,wen,rozado,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0437424058323208],,[0.0003582096299173243]
armstrong,wen,rozado,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0288461538461537],,[0.0003582096299173243]
armstrong,wen,rozado,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0288461538461537],,[0.0003582096299173243]
armstrong,wen,rozado,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[2.9121376651223074],,[0.0036144914655582344]
armstrong,armstrong,wang,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[1.6424999999998362],[0.7968243686964642],[0.03927371881879994]
armstrong,armstrong,wang,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.0020600353148910733],,[0.03927371881879994]
armstrong,armstrong,wang,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[0.9987546699875467],,[0.03927371881879994]
armstrong,armstrong,wang,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0088809946714032],,[0.03927371881879994]
armstrong,armstrong,wang,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0075705437026843],,[0.03927371881879994]
armstrong,armstrong,wang,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[0.44156571941047457],,[0.6588333487906304]
armstrong,armstrong,rozado,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.12249999999921275],[0.2049951955703855],[0.5501235625530332]
armstrong,armstrong,rozado,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.00029679525643766524],,[0.5501235625530332]
armstrong,armstrong,rozado,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0352201257861635],,[0.5501235625530332]
armstrong,armstrong,rozado,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[0.9939271255060729],,[0.5501235625530332]
armstrong,armstrong,rozado,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[0.9939271255060729],,[0.5501235625530332]
armstrong,armstrong,rozado,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[0.5620376401625173],,[0.5741297626153994]
armstrong,wen,armstrong,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.48000000000002113],[0.1576726525536128],[0.0023323648818398598]
armstrong,wen,armstrong,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.0025892760815622307],,[0.0023323648818398598]
armstrong,wen,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0894039735099337],,[0.0023323648818398598]
armstrong,wen,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0487038491751768],,[0.0023323648818398598]
armstrong,wen,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0031407035175879],,[0.0023323648818398598]
armstrong,wen,armstrong,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[3.16001017045511],,[0.0015923698677414908]
armstrong,rozado,armstrong,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.3475000000000914],[0.15535146984142495],[0.025295276467135]
armstrong,rozado,armstrong,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.00187580548301991],,[0.025295276467135]
armstrong,rozado,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0325027085590466],,[0.025295276467135]
armstrong,rozado,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0369496855345912],,[0.025295276467135]
armstrong,rozado,armstrong,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0018820577164367],,[0.025295276467135]
armstrong,rozado,armstrong,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[2.2956291928114454],,[0.021761510819729834]
armstrong,wen,wen,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.36000000000000415],[0.15802180142774366],[0.022716649697126667]
armstrong,wen,wen,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.0020184605033535807],,[0.022716649697126667]
armstrong,wen,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0378863409770689],,[0.022716649697126667]
armstrong,wen,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.005641748942172],,[0.022716649697126667]
armstrong,wen,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0055710306406684],,[0.022716649697126667]
armstrong,wen,wen,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[1.063749623546549],,[0.28752245131518867]
armstrong,wang,wang,160,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[2.4562499999366776],[5.507160735352253],[0.6555898597787314]
armstrong,wang,wang,160,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.015059894695698128],,[0.6555898597787314]
armstrong,wang,wang,160,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.063793103448276],,[0.6555898597787314]
armstrong,wang,wang,160,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.063793103448276],,[0.6555898597787314]
armstrong,wang,wang,160,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0755395683453237],,[0.6555898597787314]
armstrong,wang,wang,160,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[5.059760341676256],,[4.434708365822275e-07]
armstrong,armstrong,wen,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[1.5099999999999676],[0.4456221089275002],[0.0007027057538658124]
armstrong,armstrong,wen,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.00629590399183394],,[0.0007027057538658124]
armstrong,armstrong,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0735483870967741],,[0.0007027057538658124]
armstrong,armstrong,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.06062874251497],,[0.0007027057538658124]
armstrong,armstrong,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0513513513513513],,[0.0007027057538658124]
armstrong,armstrong,wen,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[4.051997234859993],,[5.199031129476258e-05]
armstrong,rozado,wen,10,gpt-4o-2024-11-20,1.0,regression_coefficients,['Woman'],[0.5487499999999167],[0.1358077806148877],[5.330611900398837e-05]
armstrong,rozado,wen,10,gpt-4o-2024-11-20,1.0,score_difference,['Woman'],[0.002900944954734641],,[5.330611900398837e-05]
armstrong,rozado,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.50,['Woman'],[1.0464098073555166],,[5.330611900398837e-05]
armstrong,rozado,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.70,['Woman'],[1.0464098073555166],,[5.330611900398837e-05]
armstrong,rozado,wen,10,gpt-4o-2024-11-20,1.0,impact_ratio_0.90,['Woman'],[1.0439093484419264],,[5.330611900398837e-05]
armstrong,rozado,wen,10,gpt-4o-2024-11-20,1.0,ttest,['Woman'],[3.633548664763146],,[0.00028394523402692893]
